"Family","Genus","epithet","max","q975","n","type","maxF","q975F","nF","typeF","nT","nsap","finalType"
"Chrysobalanaceae","Couepia","sandwithii",9.5,9.385,3,"understory?",16,16,1,"subcanopy",4,0,"subcanopy"
"Boraginaceae","Cordia","sellowiana",7.1,7.1,1,"understory?",16,16,7,"subcanopy",8,0,"subcanopy"
"Malpighiaceae","Byrsonima","stipulacea",20.6,20.46,15,"subcanopy",18,18,21,"subcanopy",36,0,"subcanopy"
"Lauraceae","Mezilaurus","synandra",15.5,15.5,1,"understory?",17,17,1,"subcanopy",2,0,"subcanopy"
"Chrysobalanaceae","Couepia","ulei",17.7,17.4875,2,"subcanopy",13,12.9,3,"understory?",5,0,"subcanopy"
"Fabaceae","Tachigali","venusta",17.5,17.4925,4,"subcanopy",22,22,12,"subcanopy",16,0,"subcanopy"
"Sapotaceae","Pouteria","virescens",16.9,16.9,1,"subcanopy",25,22.75,31,"subcanopy",32,0,"subcanopy"
"Combretaceae","Buchenavia","viridiflora",12.4,12.25,3,"understory?",19,18.8,9,"subcanopy",12,0,"subcanopy"
"Apocynaceae","Aspidosperma","williamsii",17.6,17.6,1,"subcanopy",22,21.175,34,"subcanopy",35,0,"subcanopy"
"Burseraceae","Protium","pilosissimum",15.9,9.805,319,"understory",33,31.85,3,"emergent",322,208,"emergent"
"Combretaceae","Buchenavia","grandis",28.4,21.555,154,"subcanopy",41,35.5,23,"emergent",177,99,"emergent"
"Sapotaceae","Manilkara","huberi",29.1,27.725,127,"canopy",33,32,69,"emergent",196,66,"emergent"
"Anacardiaceae","Anacardium","parvifolium",26.8,25.225,103,"subcanopy",31,30.625,16,"emergent",119,56,"emergent"
"Goupiaceae","Goupia","glabra",30.3,27.64,113,"canopy",34,31,53,"emergent",166,53,"emergent"
"Lauraceae","Ocotea","canaliculata",11.4,9.565,68,"understory?",32,32,15,"emergent",83,51,"emergent"
"Apocynaceae","Aspidosperma","carapanauba",33.6,30.8175,60,"emergent",34,33.675,14,"emergent",74,30,"emergent"
"Caryocaraceae","Caryocar","glabrum",10.6,9.16,25,"understory?",35,34.25,11,"emergent",36,17,"emergent"
"Caryocaraceae","Caryocar","villosum",36.4,30.32,45,"canopy",42,39.4,14,"emergent",59,17,"emergent"
"Fabaceae","Swartzia","schomburgkii",39.5,33.38,17,"emergent",33,32.475,8,"emergent",25,14,"emergent"
"Fabaceae","Parkia","multijuga",31.7,30.725,27,"emergent",37,32.5,31,"emergent",58,5,"emergent"
"Fabaceae","Swartzia","polyphylla",9.1,8.72,5,"understory?",40,39.025,40,"emergent",45,4,"emergent"
"Vochysiaceae","Erisma","uncinatum",34.5,31.0375,6,"emergent",30,29.7,3,"canopy",9,4,"emergent"
"Apocynaceae","Aspidosperma","marcgravianum",14.2,14.17,5,"understory?",33,32.2,17,"emergent",22,3,"emergent"
"Lecythidaceae","Lecythis","zabucajo",21.4,19.7375,8,"subcanopy",38,35.6,25,"emergent",33,3,"emergent"
