"Family","Genus","epithet","max","q975","n","type","maxF","q975F","nF","typeF","nT","nsap","finalType"
"Violaceae","Leonia","cymosa",3.3,3.3,1,"understory?",11,11,3,"understory?",4,1,"understory?"
"Thymelaeaceae","Schoenobiblus","daphnoides",3.9,3.9,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Myrtaceae","Eugenia","diplocampta",4.3,4.3,1,"understory?",12,12,2,"understory?",3,1,"understory?"
"Salicaceae","Casearia","duckeana",12.9,12.69,2,"understory?",12,12,5,"understory?",7,1,"understory?"
"Chrysobalanaceae","Licania","elliptica",6.7,6.645,2,"understory?",12,11.925,4,"understory?",6,1,"understory?"
"Chrysobalanaceae","Couepia","eriantha",5.5,5.5,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Meliaceae","Trichilia","euneura",3.6,3.6,1,"understory?",15,14.9,3,"understory?",4,1,"understory?"
"Annonaceae","Cymbopetalum","euneurum",3.8,3.8,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Annonaceae","Annona","excellens",4.5,4.5,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Elaeocarpaceae","Sloanea","fendleriana",3.2,3.2,1,"understory?",15,15,4,"understory?",5,1,"understory?"
"Myrtaceae","Eugenia","florida",4.6,4.6,1,"understory?",14,14,2,"understory?",3,1,"understory?"
"Siparunaceae","Siparuna","glycycarpa",9.1,8.97,2,"understory?",-Inf,NA,0,NA,2,1,"understory?"
"Chrysobalanaceae","Licania","gracilipes",5.6,5.5425,2,"understory?",-Inf,NA,0,NA,2,1,"understory?"
"Fabaceae","Eperua","grandiflora",8.5,8.485,4,"understory?",-Inf,NA,0,NA,4,1,"understory?"
"Melastomataceae","Bellucia","grossularioides",13.3,12.94,3,"understory?",10,9.75,2,"understory?",5,1,"understory?"
"Anacardiaceae","Thyrsodium","guianense",4.7,4.7,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Annonaceae","Duguetia","guianensis",4,4,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Rubiaceae","Palicourea","guianensis",3.6,3.6,1,"understory?",10,10,1,"understory?",2,1,"understory?"
"Fabaceae","Tachigali","guianensis",3.6,3.6,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Fabaceae","Hymenolobium","heterocarpum",7.1,7.07,3,"understory?",-Inf,NA,0,NA,3,1,"understory?"
"Celastraceae","Cheiloclinium","hippocrateoides",4.4,4.4,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Linaceae","Hebepetalum","humiriifolium",3.2,3.2,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Celastraceae","Salacia","impressifolia",3.2,3.2,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Fabaceae","Clitoria","javitensis",3.2,3.2,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Elaeocarpaceae","Sloanea","latifolia",5.7,5.67,2,"understory?",-Inf,NA,0,NA,2,1,"understory?"
"Melastomataceae","Miconia","lepidota",4.6,4.6,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Solanaceae","Solanum","leucocarpon",3.5,3.5,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Myrsinaceae","Stylogyne","longifolia",4.3,4.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Apocynaceae","Tabernaemontana","macrocalyx",4,4,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Malvaceae","Eriotheca","macrophylla",5.4,5.4,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Melastomataceae","Miconia","macrophylla",3.9,3.9,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Sapindaceae","Talisia","macrophylla",8.5,8.36,8,"understory?",11,11,4,"understory?",12,1,"understory?"
"Sapindaceae","Matayba","macrostylis",8.5,8.4,2,"understory?",-Inf,NA,0,NA,2,1,"understory?"
"Salicaceae","Casearia","mariquitensis",4.6,4.6,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Solanaceae","Brunfelsia","martiana",3.9,3.9,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Sapotaceae","Micropholis","mensaliforme",3.9,3.9,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Fabaceae","Sclerolobium","micranthum",3.3,3.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Melastomataceae","Mouriri","monopora",5,5,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Anacardiaceae","Tapirira","obtusa",10,9.8675,2,"understory?",-Inf,NA,0,NA,2,1,"understory?"
"Quiinaceae","Quiina","oiapocensis",5.3,5.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Sapotaceae","Pouteria","pachyphylla",3.3,3.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Meliaceae","Trichilia","pallida",3.8,3.8,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Fabaceae","Diplotropis","peruviana",3.3,3.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Rubiaceae","Psychotria","polycephala",4.3,4.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Clusiaceae","Caraipa","punctulata",5.4,5.4,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Lauraceae","Aniba","rosaeodora",3.3,3.3,1,"understory?",11,11,6,"understory?",7,1,"understory?"
"Elaeocarpaceae","Sloanea","rufa",3.2,3.2,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Lauraceae","Ocotea","scabrella",3.6,3.6,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Lauraceae","Rhodostemonodaphne","scandens",4,4,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Solanaceae","Solanum","schlechtendalianum",4.5,4.5,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Combretaceae","Buchenavia","sericocarpa",15.1,14.8375,6,"understory?",15,15,10,"understory?",16,1,"understory?"
"Chrysobalanaceae","Licania","sothersiae",3.3,3.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Fabaceae","Inga","splendens",3.2,3.2,1,"understory?",15,15,4,"understory?",5,1,"understory?"
"Melastomataceae","Miconia","splendens",5.6,5.565,2,"understory?",13,12.925,4,"understory?",6,1,"understory?"
"Fabaceae","Inga","stipulacea",3.6,3.6,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Arecaceae","Bactris","syagroides",3.2,3.2,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Myrtaceae","Eugenia","tapacumensis",4,4,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Lauraceae","Aniba","terminalis",4.5,4.5,1,"understory?",13,12.8,5,"understory?",6,1,"understory?"
"Siparunaceae","Siparuna","tomentosa",10.8,10.6475,2,"understory?",-Inf,NA,0,NA,2,1,"understory?"
"Rubiaceae","Faramea","torquata",3.5,3.5,1,"understory?",0,0,1,"understory?",2,1,"understory?"
"Sapindaceae","Porocystis","toulicioides",3.3,3.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Euphorbiaceae","Pausandra","trianae",4.6,4.6,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Rubiaceae","Palicourea","virens",3.3,3.3,1,"understory?",-Inf,NA,0,NA,1,1,"understory?"
"Lauraceae","Ocotea","aciphylla",14.1,14.1,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Fabaceae","Bocoa","alterna",6.2,6.2,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Annonaceae","Annona","ambotay",10.9,10.8,3,"understory?",14,13.975,2,"understory?",5,0,"understory?"
"Euphorbiaceae","Mabea","angularis",14.2,13.675,4,"understory?",11,10.95,3,"understory?",7,0,"understory?"
"Simaroubaceae","Simaba","arborea",9.1,9.06,2,"understory?",-Inf,NA,0,NA,2,0,"understory?"
"Apocynaceae","Lacmellea","arborescens",8.8,8.8,1,"understory?",11,11,1,"understory?",2,0,"understory?"
"Fabaceae","Swartzia","arborescens",9.4,9.4,1,"understory?",13,12.65,15,"understory?",16,0,"understory?"
"Fabaceae","Diplotropis","brasiliensis",10.5,10.425,2,"understory?",10,10,1,"understory?",3,0,"understory?"
"Bignoniaceae","Tabebuia","capitata",14.9,14.8225,2,"understory?",15,15,1,"understory?",3,0,"understory?"
"Myrtaceae","Marlierea","caudata",9.6,9.6,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Malvaceae","Sterculia","chicha",10.6,10.48,3,"understory?",-Inf,NA,0,NA,3,0,"understory?"
"Salicaceae","Casearia","combaymensis",7.8,7.77,2,"understory?",13,13,12,"understory?",14,0,"understory?"
"Connaraceae","Connarus","coriaceus",8.2,8.2,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Lauraceae","Rhodostemonodaphne","crenaticupula",7.6,7.6,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Achariaceae","Carpotroche","crispidentata",10.2,9.91,5,"understory?",11,11,1,"understory?",6,0,"understory?"
"Lecythidaceae","Eschweilera","decolorans",6.3,6.3,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Pentaphylacaceae","Ternstroemia","dentata",9.8,9.66,3,"understory?",-Inf,NA,0,NA,3,0,"understory?"
"Apocynaceae","Aspidosperma","desmanthum",6.8,6.78,2,"understory?",15,14.925,4,"understory?",6,0,"understory?"
"Fabaceae","Eperua","duckeana",9.2,9.2,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Malvaceae","Sterculia","duckei",15.3,15.09,3,"understory?",-Inf,NA,0,NA,3,0,"understory?"
"Sapotaceae","Chrysophyllum","durifructum",9.8,9.8,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Fabaceae","Inga","edulis",8,8,1,"understory?",11,11,1,"understory?",2,0,"understory?"
"Myrtaceae","Calyptranthes","fasciculata",6,6,1,"understory?",12,12,1,"understory?",2,0,"understory?"
"Myrtaceae","Eugenia","ferreiraeana",8,8,1,"understory?",13,13,1,"understory?",2,0,"understory?"
"Myrtaceae","Calyptranthes","forsteri",6.7,6.7,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Sapindaceae","Pseudima","frutescens",6.1,6.1,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Phyllanthaceae","Richeria","grandis",8,8,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Rubiaceae","Duroia","gransabanensis",12.4,12.205,4,"understory?",11,11,1,"understory?",5,0,"understory?"
"Ebenaceae","Diospyros","guatterioides",5.8,5.8,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Myrtaceae","Myrcia","guianensis",11.4,11.4,1,"understory?",12,12,1,"understory?",2,0,"understory?"
"Celastraceae","Salacia","insignis",6.3,6.3,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Moraceae","Ficus","krukovii",14.6,14.6,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Dichapetalaceae","Tapura","lanceolata",7.5,7.5,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Melastomataceae","Henriettella","macrocalyx",5.7,5.7,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Malpighiaceae","Glandonia","macrocarpa",7.2,7.2,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Sapotaceae","Pouteria","macrocarpa",7.9,7.9,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Sabiaceae","Ophiocaryon","manausense",7.5,7.4675,2,"understory?",-Inf,NA,0,NA,2,0,"understory?"
"Myrsinaceae","Stylogyne","micrantha",10.3,10.3,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Cyatheaceae","Trichipteris","microdonta",5.7,5.7,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Malvaceae","Pachira","nervosa",11.7,11.615,2,"understory?",-Inf,NA,0,NA,2,0,"understory?"
"Malvaceae","Matisia","ochrocalyx",7.5,7.455,3,"understory?",14,14,26,"understory?",29,0,"understory?"
"Nyctaginaceae","Neea","oppositifolia",7.2,7.1675,2,"understory?",-Inf,NA,0,NA,2,0,"understory?"
"Burseraceae","Protium","pedicellatum",6.9,6.9,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Apocynaceae","Rauvolfia","pentaphylla",15.2,15.2,1,"understory?",13,13,2,"understory?",3,0,"understory?"
"Myrtaceae","Eugenia","polystachya",13.2,13.2,1,"understory?",15,14.925,2,"understory?",3,0,"understory?"
"Fabaceae","Macrolobium","prancei",6,6,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Fabaceae","Diplotropis","purpurea",10.7,10.7,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Fabaceae","Inga","racemiflora",8.5,8.5,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Burseraceae","Protium","rhynchophyllum",11.9,11.9,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Clusiaceae","Clusia","scrobiculata",6.5,6.5,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Fabaceae","Vatairea","sericea",13.3,13.3,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Melastomataceae","Miconia","spichigeri",6.2,6.2,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Moraceae","Sorocea","sprucei",9.7,9.7,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Moraceae","Naucleopsis","ternstroemiiflora",8.3,8.3,1,"understory?",12,12,7,"understory?",8,0,"understory?"
"Myristicaceae","Virola","theiodora",9.6,9.505,2,"understory?",-Inf,NA,0,NA,2,0,"understory?"
"Melastomataceae","Mouriri","trunciflora",10.9,10.835,2,"understory?",-Inf,NA,0,NA,2,0,"understory?"
"Moraceae","Helicostylis","turbinata",14.5,14.38,2,"understory?",-Inf,NA,0,NA,2,0,"understory?"
"Vochysiaceae","Vochysia","venulosa",8.2,8.2,1,"understory?",-Inf,NA,0,NA,1,0,"understory?"
"Annonaceae","Duguetia","flagellaris",32.9,6.5,9312,"understory",11,11,2,"understory?",9314,8571,"understory"
"Euphorbiaceae","Pausandra","macropetala",22.4,10.6,4913,"understory",14,13,71,"understory?",4984,3061,"understory"
"Violaceae","Amphirrhox","longifolia",20.4,10,1804,"understory",14,13.225,32,"understory?",1836,1239,"understory"
"Violaceae","Rinorea","amapensis",12.3,7.6,1567,"understory",-Inf,NA,0,NA,1567,1188,"understory"
"Chrysobalanaceae","Hirtella","myrmecophila",21.5,6.7,1138,"understory",-Inf,NA,0,NA,1138,1008,"understory"
"Arecaceae","Geonoma","deversa",13.8,4.3,841,"understory",-Inf,NA,0,NA,841,829,"understory"
"Siparunaceae","Siparuna","cuspidata",13.9,8.4,1139,"understory",11,10.975,2,"understory?",1141,821,"understory"
"Melastomataceae","Henriettella","caudata",16.8,6.43,749,"understory",-Inf,NA,0,NA,749,687,"understory"
"Moraceae","Naucleopsis","caloneura",16.4,12.2,1239,"understory",16,14,190,"understory",1429,681,"understory"
"Siparunaceae","Siparuna","decipiens",18.3,10.89,845,"understory",15,14,54,"understory?",899,638,"understory"
"Malvaceae","Theobroma","sylvestre",24.5,11,1482,"understory",13,13,45,"understory?",1527,625,"understory"
"Burseraceae","Protium","trifoliolatum",15.1,10.5275,910,"understory",13,13,39,"understory?",949,580,"understory"
"Moraceae","Sorocea","muriculata",21.2,11.1,813,"understory",13,12.9,3,"understory?",816,562,"understory"
"Fabaceae","Zygia","juruana",19,9.065,815,"understory",11,11,2,"understory?",817,558,"understory"
"Burseraceae","Protium","opacum",28.3,11.1,888,"understory",16,15.15,18,"understory?",906,558,"understory"
"Salicaceae","Ryania","speciosa",10,7.3775,770,"understory",11,10.975,2,"understory?",772,544,"understory"
"Apocynaceae","Tabernaemontana","muricata",15.1,7.5,628,"understory",-Inf,NA,0,NA,628,520,"understory"
"Violaceae","Rinorea","macrocarpa",17.9,9,648,"understory",10,10,1,"understory?",649,477,"understory"
"Euphorbiaceae","Mabea","speciosa",16.7,12.3275,950,"understory",15,14,85,"understory?",1035,470,"understory"
"Violaceae","Rinorea","racemosa",21.2,10.8,922,"understory",16,12,75,"understory?",997,437,"understory"
"Dichapetalaceae","Tapura","guianensis",16.9,9.4275,670,"understory",12,11.875,6,"understory?",676,412,"understory"
"Annonaceae","Duguetia","asterotricha",11.7,6.5,434,"understory",-Inf,NA,0,NA,434,389,"understory"
"Melastomataceae","Miconia","tomentosa",13.2,10.2,614,"understory",12,11.8,9,"understory?",623,378,"understory"
"Ochnaceae","Ouratea","coccinea",20.7,11.8525,514,"understory",-Inf,NA,0,NA,514,363,"understory"
"Burseraceae","Protium","pilosum",12.8,10.91,397,"understory",10,10,2,"understory?",399,288,"understory"
"Myrtaceae","Myrcia","fenestrata",11.4,8.4775,364,"understory",-Inf,NA,0,NA,364,284,"understory"
"Annonaceae","Duguetia","calycina",18.1,6.2,287,"understory",-Inf,NA,0,NA,287,274,"understory"
"Fabaceae","Inga","umbratica",12.3,9.3,336,"understory",14,14,42,"understory?",378,242,"understory"
"Ochnaceae","Ouratea","odora",10.2,7.85,271,"understory",-Inf,NA,0,NA,271,239,"understory"
"Burseraceae","Protium","unifoliolatum",14,9.975,366,"understory",-Inf,NA,0,NA,366,217,"understory"
"Annonaceae","Unonopsis","stipitata",19.3,8.57999999999999,325,"understory",-Inf,NA,0,NA,325,209,"understory"
"Apocynaceae","Tabernaemontana","angulata",9.8,7.175,246,"understory",16,14.875,16,"understory?",262,208,"understory"
"Fabaceae","Tachigali","myrmecophila",19.8,12.86,349,"understory",-Inf,NA,0,NA,349,196,"understory"
"Violaceae","Rinoreocarpus","ulei",15.8,12.3875,406,"understory",-Inf,NA,0,NA,406,193,"understory"
"Myrtaceae","Eugenia","cupulata",12.8,10.77,227,"understory",13,12.875,6,"understory?",233,160,"understory"
"Quiinaceae","Quiina","amazonica",15.1,10.04,233,"understory",11,10.725,2,"understory?",235,155,"understory"
"Annonaceae","Fusaea","longifolia",17.6,10.86,273,"understory",17,14,105,"understory",378,154,"understory"
"Rubiaceae","Ixora","ulei",11.4,7.5725,172,"understory",16,15.25,7,"understory?",179,145,"understory"
"Connaraceae","Connarus","erianthus",10.8,8.81999999999999,193,"understory",12,11.8,9,"understory?",202,141,"understory"
"Rubiaceae","Amaioua","guianensis",13.5,10.54,185,"understory",13,13,9,"understory?",194,138,"understory"
"Rubiaceae","Psychotria","pacimonica",12.4,4.8,137,"understory",-Inf,NA,0,NA,137,136,"understory"
"Melastomataceae","Miconia","argyrophylla",11.6,8.8625,176,"understory",-Inf,NA,0,NA,176,133,"understory"
"Sapindaceae","Cupania","hispida",13.2,6.9325,148,"understory",-Inf,NA,0,NA,148,132,"understory"
"Urticaceae","Pourouma","myrmecophila",16,13.4,221,"understory",13,13,1,"understory?",222,123,"understory"
"Quiinaceae","Quiina","negrensis",14.5,12.77,167,"understory",15,14.725,12,"understory?",179,117,"understory"
"Quiinaceae","Quiina","obovata",15.5,13.54,174,"understory",15,15,20,"understory?",194,114,"understory"
"Myrtaceae","Eugenia","coffeifolia",12.2,10.2575,180,"understory",-Inf,NA,0,NA,180,107,"understory"
"Arecaceae","Geonoma","maxima",15.5,6.835,112,"understory",-Inf,NA,0,NA,112,104,"understory"
"Ochnaceae","Ouratea","leprieuri",14.3,10.945,143,"understory",-Inf,NA,0,NA,143,103,"understory"
"Annonaceae","Annona","foetida",11.9,9.225,156,"understory",12,11.9,5,"understory?",161,102,"understory"
"Boraginaceae","Cordia","nodosa",11.1,9.4875,122,"understory",-Inf,NA,0,NA,122,102,"understory"
"Erythroxylaceae","Erythroxylum","macrophyllum",10,7.36,117,"understory",12,11.7,2,"understory?",119,99,"understory"
"Annonaceae","Duguetia","stelechantha",12.9,10.9,181,"understory",12,12,27,"understory?",208,98,"understory"
"Myristicaceae","Compsoneura","ulei",16.2,8.2025,134,"understory",-Inf,NA,0,NA,134,98,"understory"
"Fabaceae","Inga","stipularis",11.9,9.6875,126,"understory",13,12.925,2,"understory?",128,97,"understory"
"Meliaceae","Guarea","pubescens",8.2,6.6,101,"understory",14,14,1,"understory?",102,96,"understory"
"Myrtaceae","Myrcia","paivae",10.7,8.38,129,"understory",14,13.55,10,"understory?",139,90,"understory"
"Rubiaceae","Coussarea","ampla",11.8,9.53,158,"understory",13,12.9,5,"understory?",163,87,"understory"
"Siparunaceae","Siparuna","guianensis",11.3,10.2,124,"understory",13,12.8,5,"understory?",129,86,"understory"
"Chrysobalanaceae","Licania","macrophylla",14.1,10.32,149,"understory",10,10,1,"understory?",150,85,"understory"
"Myrtaceae","Myrcia","huallagae",11.7,9.7,150,"understory",-Inf,NA,0,NA,150,84,"understory"
"Moraceae","Helicostylis","scabra",14.4,7.815,100,"understory",14,14,1,"understory?",101,83,"understory"
"Nyctaginaceae","Neea","ovalifolia",13.6,9.37249999999999,100,"understory",-Inf,NA,0,NA,100,82,"understory"
"Sapindaceae","Talisia","mollis",16.2,11.3975,202,"understory",11,11,10,"understory?",212,78,"understory"
"Quiinaceae","Lacunaria","jenmanii",15.9,12.67,114,"understory",14,14,9,"understory?",123,76,"understory"
"Malvaceae","Theobroma","subincanum",14.9,13.6,130,"understory",15,14.475,22,"understory?",152,73,"understory"
"Moraceae","Helianthostylis","sprucei",22,13.68,185,"understory",14,14,80,"understory?",265,71,"understory"
"Burseraceae","Protium","giganteum",15.8,11.22,115,"understory",-Inf,NA,0,NA,115,70,"understory"
"Melastomataceae","Miconia","punctata",10.7,8.17,87,"understory?",14,14,18,"understory?",105,69,"understory"
"Fabaceae","Zygia","ramiflora",14.3,8.5525,78,"understory?",15,14.075,38,"understory?",116,62,"understory"
"Sapindaceae","Vouarana","guianensis",11.2,9.02,105,"understory",15,15,3,"understory?",108,60,"understory"
"Boraginaceae","Cordia","sagotii",14,11.76,105,"understory",14,14,26,"understory?",131,55,"understory"
"Sapindaceae","Talisia","cerasina",8.6,7.6575,100,"understory",-Inf,NA,0,NA,100,51,"understory"
"Arecaceae","Euterpe","precatoria",12.8,12,352,"understory",14,14,76,"understory?",428,50,"understory"
"Arecaceae","Astrocaryum","gynacanthum",17.9,7.3,508,"understory",-Inf,NA,0,NA,508,34,"understory"
"Arecaceae","Socratea","exorrhiza",16.3,10.1,322,"understory",11,11,1,"understory?",323,25,"understory"
"Arecaceae","Oenocarpus","minor",14.8,9.12499999999999,152,"understory",-Inf,NA,0,NA,152,18,"understory"
"Arecaceae","Syagrus","inajai",11.6,11.05,171,"understory",-Inf,NA,0,NA,171,12,"understory"
"Violaceae","Rinorea","flavescens",7,6.82,10,"understory?",13,13,191,"understory",201,8,"understory"
"Arecaceae","Oenocarpus","bacaba",14.5,13.4,223,"understory",19,14,263,"understory",486,6,"understory"
"Burseraceae","Protium","hebetatum",29.7,12.2,7493,"understory",20,17,709,"subcanopy",8202,4859,"subcanopy"
"Lecythidaceae","Eschweilera","wachenheimii",28.4,16.4,2025,"subcanopy",26,20,657,"subcanopy",2682,923,"subcanopy"
"Euphorbiaceae","Micrandropsis","scleroxylon",23.5,18.5,1519,"subcanopy",23,21,128,"subcanopy",1647,753,"subcanopy"
"Lecythidaceae","Eschweilera","romeu-cardosoi",18.9,14.4,1351,"understory",20,19,269,"subcanopy",1620,617,"subcanopy"
"Lecythidaceae","Eschweilera","grandiflora",22.7,12.675,1051,"understory",20,18.2,153,"subcanopy",1204,566,"subcanopy"
"Sapotaceae","Pouteria","reticulata",20.1,16.7,754,"subcanopy",26,21,147,"subcanopy",901,460,"subcanopy"
"Lecythidaceae","Eschweilera","truncata",23.1,16.25,991,"subcanopy",27,21,413,"subcanopy",1404,454,"subcanopy"
"Burseraceae","Protium","decandrum",17.9,13,647,"understory",21,18,104,"subcanopy",751,391,"subcanopy"
"Salicaceae","Casearia","javitensis",19.8,10.6025,600,"understory",20,18.75,46,"subcanopy",646,391,"subcanopy"
"Lecythidaceae","Eschweilera","coriacea",22.1,17.075,763,"subcanopy",27,22,324,"subcanopy",1087,364,"subcanopy"
"Ochnaceae","Ouratea","discophora",18,14.46,457,"understory",16,15.6,17,"subcanopy",474,322,"subcanopy"
"Annonaceae","Unonopsis","duckei",18.3,14.1,670,"understory",18,17,106,"subcanopy",776,322,"subcanopy"
"Burseraceae","Protium","spruceanum",14.6,10.365,495,"understory",17,16.85,7,"subcanopy",502,315,"subcanopy"
"Burseraceae","Protium","paniculatum",19.1,14.25,461,"understory",21,19.175,74,"subcanopy",535,298,"subcanopy"
"Lecythidaceae","Eschweilera","pedicellata",25.7,13.86,577,"understory",19,16,45,"subcanopy",622,293,"subcanopy"
"Sapotaceae","Pouteria","campanulata",19.5,14.18,425,"understory",17,17,39,"subcanopy",464,289,"subcanopy"
"Sapotaceae","Micropholis","guyanensis",23.9,16.8125,436,"subcanopy",25,21.625,176,"subcanopy",612,279,"subcanopy"
"Chrysobalanaceae","Licania","heteromorpha",24.5,15.205,387,"understory",23,23,108,"subcanopy",495,279,"subcanopy"
"Annonaceae","Guatteria","olivacea",18.9,12.195,419,"understory",19,18.075,38,"subcanopy",457,273,"subcanopy"
"Violaceae","Rinorea","guianensis",18.3,12.8,497,"understory",22,18,77,"subcanopy",574,258,"subcanopy"
"Chrysobalanaceae","Licania","octandra",18.6,14,416,"understory",20,18.275,24,"subcanopy",440,226,"subcanopy"
"Lecythidaceae","Eschweilera","atropetiolata",26.8,22.3325,588,"subcanopy",28,25,160,"subcanopy",748,208,"subcanopy"
"Fabaceae","Swartzia","reticulata",20.4,17.4,369,"subcanopy",21,20,217,"subcanopy",586,206,"subcanopy"
"Urticaceae","Pourouma","minor",19.1,15.0825,350,"understory",19,19,28,"subcanopy",378,205,"subcanopy"
"Lecythidaceae","Gustavia","elliptica",18.8,15.01,333,"understory",16,16,29,"subcanopy",362,201,"subcanopy"
"Sapotaceae","Pouteria","fulva",20.6,12.06,249,"understory",21,20.4,13,"subcanopy",262,196,"subcanopy"
"Myristicaceae","Virola","sebifera",17.3,14.8525,314,"understory",20,17.225,38,"subcanopy",352,193,"subcanopy"
"Euphorbiaceae","Hevea","guianensis",23.2,20.405,340,"subcanopy",22,20,169,"subcanopy",509,182,"subcanopy"
"Urticaceae","Pourouma","tomentosa",22.3,17.99,325,"subcanopy",25,20.2,73,"subcanopy",398,157,"subcanopy"
"Sapotaceae","Manilkara","bidentata",27.2,19.1975,282,"subcanopy",30,22.625,108,"subcanopy",390,154,"subcanopy"
"Lauraceae","Mezilaurus","duckei",31.4,22.4,212,"subcanopy",25,25,41,"subcanopy",253,154,"subcanopy"
"Burseraceae","Protium","guianense",13.8,11.2325,228,"understory",17,17,67,"subcanopy",295,153,"subcanopy"
"Burseraceae","Protium","tenuifolium",21.7,17.815,214,"subcanopy",20,20,22,"subcanopy",236,148,"subcanopy"
"Myristicaceae","Virola","calophylla",15.7,13.31,279,"understory",18,16,87,"subcanopy",366,141,"subcanopy"
"Fabaceae","Inga","paraensis",21.5,15.64,193,"subcanopy",21,20,111,"subcanopy",304,136,"subcanopy"
"Anacardiaceae","Astronium","lecointei",28.3,18.9,281,"subcanopy",24,24,29,"subcanopy",310,134,"subcanopy"
"Fabaceae","Paramachaerium","ormosoides",30.1,17.12,233,"subcanopy",-Inf,NA,0,NA,233,132,"subcanopy"
"Chrysobalanaceae","Couepia","longipendula",18.7,16.77,194,"subcanopy",23,21.05,40,"subcanopy",234,131,"subcanopy"
"Dichapetalaceae","Tapura","amazonica",20.6,12.48,234,"understory",21,19.3,35,"subcanopy",269,126,"subcanopy"
"Fabaceae","Zygia","racemosa",26.4,18.14,287,"subcanopy",24,23,119,"subcanopy",406,124,"subcanopy"
"Burseraceae","Protium","occultum",21.7,11.62,199,"understory",20,16,50,"subcanopy",249,110,"subcanopy"
